# Known bad stars of Scene 1 = mag 23
#Star  Reason 
12     # hot pixel, Tony=bad shutters
17     # hot pixel, Tony=no PF data     
#28    # slightly off for no apparent reason)
34     # hot pixel
40     # binary upper left edge
#55    # Tony=binary lower right
71     # hot pixel? bad column?
#72    # slightly off, nearby hot pix
#75    # star moved? 
79     # binary right edge x
#87    # Tony=no apparent reason
#94    # MSA bar
103    # binary
105    # bad columns?
106    # hot pixel
120    # binary 
124    # hot pixel
#134   # Tony=binary x
152    # hot pixel
156    # hot pixel
170    # hot pixel, Tony=no apparent reason
188    # Tony=binary x
